"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8291,6.5228,1.3725,2.7494,0.82509,0,1.7081,0.49692,1.3074,1,0.342,0.342,0.2,0
1.8291,6.5227,1.3725,2.7494,0.82507,0,1.7081,0.49692,1.3074,1,0.344,0.344,0.2,0
1.8291,6.5227,1.3725,2.7493,0.82505,0,1.7081,0.49692,1.3074,1,0.346,0.346,0.2,0
1.8291,6.5226,1.3725,2.7493,0.82504,0,1.7081,0.49692,1.3074,1,0.348,0.348,0.2,0
1.8291,6.5226,1.3725,2.7493,0.82503,0,1.7081,0.49692,1.3074,1,0.35,0.35,0.2,0
1.8291,6.5226,1.3725,2.7493,0.82502,0,1.7081,0.49692,1.3074,1,0.352,0.352,0.2,0
1.8291,6.5225,1.3724,2.7493,0.825,0,1.7081,0.49692,1.3074,1,0.354,0.354,0.2,0
1.8291,6.5224,1.3724,2.7492,0.82498,0,1.7081,0.49691,1.3074,1,0.356,0.356,0.2,0
1.8291,6.5223,1.3724,2.7492,0.82495,0,1.7081,0.49691,1.3074,1,0.358,0.358,0.2,0
1.8291,6.5223,1.3724,2.7492,0.82493,0,1.7081,0.4969,1.3074,1,0.36,0.36,0.2,0
1.8291,6.5222,1.3724,2.7491,0.82491,0,1.7081,0.4969,1.3074,1,0.362,0.362,0.2,0
1.8291,6.5221,1.3724,2.7491,0.82489,0,1.7081,0.4969,1.3074,1,0.364,0.364,0.2,0
1.8291,6.522,1.3724,2.7491,0.82486,0,1.7081,0.49689,1.3074,1,0.366,0.366,0.2,0
1.8291,6.522,1.3723,2.749,0.82484,0,1.7081,0.49689,1.3074,1,0.368,0.368,0.2,0
1.8291,6.5219,1.3723,2.749,0.82482,0,1.7081,0.49689,1.3074,1,0.37,0.37,0.2,0
1.8291,6.5218,1.3723,2.7489,0.8248,0,1.7081,0.49689,1.3074,1,0.372,0.372,0.2,0
1.8291,6.5217,1.3723,2.7489,0.82478,0,1.7081,0.49688,1.3074,1,0.374,0.374,0.2,0
