"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         251,      -6.775305649,      -6.506925978,      -6.842611641,      -6.200543004
          0,           0,         252,      -6.774854767,      -6.504386076,      -6.839703173,      -6.197259076
          0,           0,         253,      -6.773063488,      -6.500408597,      -6.835027641,      -6.192646536
          0,           0,         254,      -6.770065432,      -6.495252532,      -6.828871211,      -6.186949421
          0,           0,         255,      -6.778878128,      -6.506511624,      -6.846780868,      -6.199699566
          0,           0,         256,       -6.78615118,      -6.513944219,      -6.854224181,      -6.209548292
          0,           0,         257,      -6.790872596,      -6.517973662,       -6.85726346,      -6.214878661
          0,           0,         258,      -6.793413611,      -6.519300715,      -6.857948794,      -6.216291958
          0,           0,         259,      -6.794057826,      -6.518413481,      -6.856786987,      -6.214743147
          0,           0,         260,      -6.793089776,      -6.515757515,      -6.853775462,      -6.211225999
          0,           0,         261,      -6.790776657,      -6.511738066,      -6.848897357,       -6.20645912
          0,           0,         262,       -6.78729733,      -6.506630546,      -6.842670111,      -6.200657162
          0,           0,         263,      -6.796113971,      -6.517858591,      -6.860741269,      -6.213490078
          0,           0,         264,       -6.80332121,      -6.525289238,      -6.868319114,      -6.223381883
          0,           0,         265,      -6.807918559,       -6.52937603,      -6.871434749,      -6.228749355
          0,           0,         266,      -6.810296219,      -6.530824558,      -6.872137438,      -6.230209043
          0,           0,         267,      -6.810736125,       -6.53009952,      -6.870943645,      -6.228699687
          0,           0,         268,       -6.80952144,      -6.527622509,      -6.867856006,      -6.225197906
          0,           0,         269,      -6.806909685,      -6.523775461,      -6.862972506,      -6.220381772
          0,           0,         270,      -6.803019607,      -6.518795496,      -6.856687712,       -6.21445141
          0,           0,         271,      -6.811635499,      -6.529857762,       -6.87459201,      -6.227138564
          0,           0,         272,      -6.818580316,      -6.537122625,      -6.882083572,      -6.236853133
          0,           0,         273,      -6.822914529,      -6.541114769,      -6.885108481,      -6.242081235
          0,           0,         274,      -6.825025454,      -6.542506546,      -6.885709379,      -6.243409021
          0,           0,         275,      -6.825210881,       -6.54178087,      -6.884409722,      -6.241788547
          0,           0,         276,      -6.823762937,       -6.53936744,      -6.881220096,      -6.238203921
          0,           0,         277,      -6.820938159,      -6.535640219,      -6.876236531,      -6.233329779
          0,           0,         278,      -6.819614602,      -6.534142499,      -6.874528126,      -6.231255677
          0,           0,         279,      -6.816910812,      -6.530940078,      -6.869523265,      -6.227452652
          0,           0,         280,      -6.825808008,      -6.542333707,      -6.887722952,      -6.240559959
          0,           0,         281,       -6.83292427,       -6.54990041,      -6.895587577,      -6.250501753
          0,           0,         282,      -6.837386553,      -6.554182565,       -6.89891957,      -6.255878091
          0,           0,         283,      -6.839599614,      -6.555859757,       -6.89970857,      -6.257335772
          0,           0,         284,      -6.839855318,      -6.555391019,       -6.89848219,      -6.255832695
          0,           0,         285,      -6.838442488,       -6.55320317,      -6.895289177,      -6.252346447
          0,           0,         286,      -6.835630036,      -6.549684895,      -6.890272763,      -6.247558487
          0,           0,         287,      -6.834259403,      -6.548286257,      -6.888491139,      -6.245492362
          0,           0,         288,      -6.831526793,      -6.545262491,      -6.883468713,      -6.241737744
          0,           0,         289,      -6.840222217,      -6.556430763,      -6.901366138,      -6.254586166
          0,           0,         290,      -6.847137428,      -6.563879083,      -6.909144441,      -6.264323133
          0,           0,         291,      -6.851487943,      -6.568202445,      -6.912441205,      -6.269640763
          0,           0,         292,      -6.853664076,      -6.570037274,      -6.913198486,      -6.271149393
          0,           0,         293,        -6.8539434,      -6.569805874,      -6.911938379,        -6.2697672
          0,           0,         294,      -6.852601101,      -6.567901696,      -6.908738144,      -6.266432086
